CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
23700,Faculdade De Tecnologia De Ferraz De Vasconcelos,Não informado,Pública,Não,Não,Não,Faculdade,3515707.0,Ferraz De Vasconcelos,SP,Em Atividade
16782,Faculdade Mário Quintana,FAMAQUI,Privada,Não,Não,Não,Faculdade,4314902.0,Porto Alegre,RS,Em Atividade
22197,Faculdade Atenas Passos,Não informado,Privada,Não,Não,Não,Faculdade,3147907.0,Passos,MG,Em Atividade
19207,Faculdade Supremo,Supremo,Privada,Não,Não,Não,Faculdade,3106200.0,Belo Horizonte,MG,Em Atividade
21827,Instituto Friburgo De Ensino Superior,IFES,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Extinta
1307,Faculdade De Ensino Superior E Formação Integral,FAEF,Privada,Não,Não,Não,Faculdade,3516705.0,Garça,SP,Em Atividade
18153,Faculdade Cesumar De Guarapuava,FAC-CESUMAR,Privada,Não,Não,Não,Faculdade,4109401.0,Guarapuava,PR,Extinta
284,Faculdade De Medicina De Itajubá,FMIT,Privada,Não,Não,Não,Faculdade,3132404.0,Itajubá,MG,Em Atividade
21206,Escola De Educação Física Do Exército,EsEFEx,Pública,Não,Não,Não,Faculdade,3304557.0,Rio De Janeiro,RJ,Em Atividade
1932,Faculdade Palotina,FAPAS,Privada,Não,Não,Não,Faculdade,4316907.0,Santa Maria,RS,Em Atividade
21685,Faculdade Gil Gal,GILGAL,Privada,Não,Não,Não,Faculdade,2516201.0,Sousa,PB,Em Atividade
1892,Centro Universitário De Excelência Eniac,ENIAC,Privada,Não,Não,Não,Centro Universitário,3518800.0,Guarulhos,SP,Em Atividade
21103,Fiep - Faculdade Internacional De Evolução Profissional,FIEP,Privada,Não,Não,Não,Faculdade,2927408.0,Salvador,BA,Em Atividade
1878,Centro Universitário Da Fundação Educacional Inaciana Pe Sabóia De Medeiros,FEI,Privada,Sim,Não,Não,Centro Universitário,3548708.0,São Bernardo Do Campo,SP,Em Atividade
5438,Faculdade De Tecnologia De Ensino Superior,FATEC,Privada,Não,Não,Não,Faculdade,3143302.0,Montes Claros,MG,Extinta
24700,Faculdade Instituto Rio De Janeiro,FIURJ,Privada,Não,Não,Não,Faculdade,3304557.0,Rio De Janeiro,RJ,Em Atividade
21878,Faculdade Metropolitana De Florianópolis,FAMEFLORIPA,Privada,Não,Não,Não,Faculdade,4205407.0,Florianópolis,SC,Em Atividade
19670,Faculdade De Ciências Da Saúde Moinhos De Vento,FACSMV,Privada,Não,Não,Não,Faculdade,4314902.0,Porto Alegre,RS,Em Atividade
1641,Centro Universitário Social Da Bahia,UNISBA,Privada,Não,Não,Não,Centro Universitário,2927408.0,Salvador,BA,Em Atividade
24490,Faculdade Mar Atlântico,FMA,Privada,Não,Não,Não,Faculdade,2304400.0,Fortaleza,CE,Em Atividade
23194,Faculdade Psicolog,FAPSI,Privada,Não,Não,Não,Faculdade,3543402.0,Ribeirão Preto,SP,Em Atividade
