CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
21995,Faculdade De Tecnologia Senac Curitiba,Não informado,Privada,Não,Não,Não,Faculdade,4106902.0,Curitiba,PR,Em Atividade
1768,Faculdade Regional Serrana,FUNPAC,Privada,Não,Não,Não,Faculdade,3205069.0,Venda Nova Do Imigrante,ES,Extinta
23261,Faculdade São Judas De São Bernardo Do Campo,Não informado,Privada,Não,Não,Não,Faculdade,3548708.0,São Bernardo Do Campo,SP,Em Atividade
14123,Faculdade Presidente Antônio Carlos De Bom Sucesso,FUNEES Bom Sucesso,Privada,Não,Não,Não,Faculdade,3108008.0,Bom Sucesso,MG,Extinta
17952,Faculdade De Tecnologia De Jacareí,FATEC Jacareí,Pública,Não,Não,Não,Faculdade,3524402.0,Jacareí,SP,Em Atividade
660,Faculdade Metodista Do Sul Paulista,FMSP,Privada,Não,Não,Não,Faculdade,3522406.0,Itapeva,SP,Extinta
1494,Centro Universitário Salesiano,UniSales,Privada,Não,Não,Não,Centro Universitário,3205309.0,Vitória,ES,Em Atividade
1253,Faculdade Metodista Granbery,FMG,Privada,Sim,Não,Não,Faculdade,3136702.0,Juiz De Fora,MG,Em Atividade
3363,Faculdade Guaraí,FAG,Privada,Não,Não,Não,Faculdade,1709302.0,Guaraí,TO,Em Atividade
1279,Faculdade De Itápolis - Facita,FACITA,Privada,Não,Não,Não,Faculdade,3522703.0,Itápolis,SP,Em Atividade
25613,Academia De Polícia Militar De Minas Gerais,APM,Pública,Não,Não,Não,Faculdade,3106200.0,Belo Horizonte,MG,Em Atividade
14724,"Instituto Federal De Educação, Ciência E Tecnologia Do Paraná",IFPR,Pública,Não,Não,Não,"Instituto Federal de Educação, Ciência e Tecnologia",4106902.0,Curitiba,PR,Em Atividade
3306,Faculdade De Tecnologia Ipuc,FATIPUC,Privada,Não,Não,Não,Faculdade,4304606.0,Canoas,RS,Em Atividade
18099,Faculdade De Tecnologia De Diadema Luigi Papaiz,FATEC DIADEMA,Pública,Não,Não,Não,Faculdade,3513801.0,Diadema,SP,Em Atividade
1433,Faculdade Vilas Boas,FVB,Privada,Não,Não,Não,Faculdade,3526803.0,Lençóis Paulista,SP,Em Atividade
14622,Faculdade Uniftb,Não informado,Privada,Não,Não,Não,Faculdade,2807402.0,Tobias Barreto,SE,Em Atividade
2044,Instituto Superior De Educação Vale Do Salgado,IVS,Privada,Não,Não,Não,Faculdade,2305407.0,Icó,CE,Extinta
1835,Faculdade De Colinas Do Tocantins,Não informado,Privada,Não,Não,Não,Faculdade,1705508.0,Colinas Do Tocantins,TO,Em Atividade
18736,Escola Superior De Tecnologia & Gestão De Santa Catarina,EST&G,Privada,Não,Não,Não,Faculdade,4205407.0,Florianópolis,SC,Extinta
166,"Fai - Centro De Ensino Superior Em Gestão, Tecnologia E Educação",Não informado,Privada,Não,Não,Não,Faculdade,3159605.0,Santa Rita Do Sapucaí,MG,Em Atividade
1257,"Faculdade De Administração, Ciências, Educação E Letras",FACEL,Privada,Não,Não,Não,Faculdade,4106902.0,Curitiba,PR,Extinta
1336,Centro Universitário Assis Gurgacz,FAG,Privada,Não,Não,Não,Centro Universitário,4104808.0,Cascavel,PR,Em Atividade
24214,Faculdade Dos Gênios,FAGENIUS,Privada,Não,Não,Não,Faculdade,3131307.0,Ipatinga,MG,Em Atividade
152,Faculdade De Ciências Contábeis,FACIC,Privada,Não,Não,Não,Faculdade,2927408.0,Salvador,BA,Em Atividade
627,Faculdade Cnec Varginha,Não informado,Privada,Sim,Não,Não,Faculdade,3170701.0,Varginha,MG,Em Atividade
2454,Faculdade Mafrense De Turismo E Ciências Humanas De Teresina,FAMA,Privada,Não,Não,Não,Faculdade,2211001.0,Teresina,PI,Extinta
416,Faculdade De São Paulo,FASP,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
18956,Faculdade De Ciências E Tecnologia De Janaúba,FACITEC,Privada,Não,Não,Não,Faculdade,3135100.0,Janaúba,MG,Em Atividade
5403,Centro Universitário Opet,Uniopet,Privada,Não,Não,Não,Centro Universitário,4106902.0,Curitiba,PR,Em Atividade
2500,Faculdade Einstein,Não informado,Privada,Não,Não,Não,Faculdade,2927408.0,Salvador,BA,Em Atividade
18734,Faculdade De Martinópolis,FAMA,Privada,Não,Não,Não,Faculdade,3529203.0,Martinópolis,SP,Em Atividade
2575,Faculdades Integradas Soares De Oliveira,FISO,Privada,Não,Não,Não,Faculdade,3505500.0,Barretos,SP,Em Atividade
21238,Faculdade Anhanguera De São José Do Rio Preto,FASJRP,Privada,Não,Não,Não,Faculdade,3549805.0,São José Do Rio Preto,SP,Em Atividade
19838,Faculdade Lusitana De Pernambuco,FALUP,Privada,Não,Não,Não,Faculdade,2604007.0,Carpina,PE,Em Atividade
4070,Escola Agrotécnica Federal De Salinas,EAFSALINAS,Pública,Não,Não,Não,Faculdade,3157005.0,Salinas,MG,Extinta
23089,Faculdade De Nova Mutum - Famutum,FAMUTUM,Privada,Não,Não,Não,Faculdade,5106224.0,Nova Mutum,MT,Em Atividade
21687,Faculdade Anhanguera Itabira,Não informado,Privada,Não,Não,Não,Faculdade,3131703.0,Itabira,MG,Em Atividade
34,Faculdade De Tecnologia De São Paulo,FATEC-SP,Pública,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
4024,Faculdade De Tecnologia De Mococa,FATEC,Pública,Não,Não,Não,Faculdade,3530508.0,Mococa,SP,Em Atividade
216,Centro Universitário Dom Helder,UNIDOM,Privada,Sim,Não,Não,Centro Universitário,3106200.0,Belo Horizonte,MG,Em Atividade
403,Universidade Católica De Brasília,UCB,Privada,Sim,Sim,Não,Universidade,5300108.0,Brasília,DF,Em Atividade
2620,Faculdade De Ampére,FAMPER,Privada,Não,Não,Não,Faculdade,4101002.0,Ampére,PR,Em Atividade
13735,"Faculdade De Tecnologia, Capacitação E Gestão Integral",FAINTEC,Privada,Não,Não,Não,Faculdade,4106902.0,Curitiba,PR,Extinta
21200,Faculdade Ismd,ISMD,Privada,Não,Não,Não,Faculdade,3106200.0,Belo Horizonte,MG,Em Atividade
1753,Faculdade De Enfermagem Nova Esperança,FACENE,Privada,Não,Não,Não,Faculdade,2507507.0,João Pessoa,PB,Em Atividade
3770,Faculdade Teológica Batista De São Paulo,FTBSP,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
271,Universidade Do Oeste Paulista,UNOESTE,Privada,Não,Não,Não,Universidade,3541406.0,Presidente Prudente,SP,Em Atividade
1030,Centro Universitário Ibmec Rio De Janeiro,IBMEC RJ,Privada,Não,Não,Não,Centro Universitário,3304557.0,Rio De Janeiro,RJ,Em Atividade
757,Centro Universitário Da Amazônia,Unama,Privada,Não,Não,Não,Centro Universitário,1506807.0,Santarém,PA,Em Atividade
15709,Faculdade De Tecnologia De Osasco - Prefeito Hirant Sanazar,Fatec Osasco,Pública,Não,Não,Não,Faculdade,3534401.0,Osasco,SP,Em Atividade
17887,Faculdade De Ciências Médicas De São José Dos Campos,Não informado,Privada,Não,Não,Não,Faculdade,3549904.0,São José Dos Campos,SP,Em Atividade
26909,Escola Saúde Pública - Espmt,ESPMT,Privada,Não,Não,Não,Escola de Governo,5103403.0,Cuiabá,MT,Em Atividade
12421,Faculdades Coc De São Paulo,FACOCSP,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Extinta
24687,Faculdade De Medicina Estácio De Castanhal,ESTÁCIO FMEC,Privada,Não,Não,Não,Faculdade,1502400.0,Castanhal,PA,Em Atividade
2613,Centro Universitário Estácio Meta De Rio Branco Estácio,UNIMETA,Privada,Não,Não,Não,Centro Universitário,1200401.0,Rio Branco,AC,Em Atividade
1766,Faculdade Espírito Santense,UNICAPE,Privada,Não,Não,Não,Faculdade,3201308.0,Cariacica,ES,Em Atividade
2014,Faculdade Setelagoana De Ciências Gerenciais,FASCIG,Privada,Não,Não,Não,Faculdade,3167202.0,Sete Lagoas,MG,Extinta
22625,Faculdade Bookplay,Não informado,Privada,Não,Não,Não,Faculdade,3557105.0,Votuporanga,SP,Em Atividade
4868,Faculdade Hsm,Não informado,Privada,Não,Não,Não,Faculdade,3547502.0,Santa Rita Do Passa Quatro,SP,Extinta
3191,Instituto Superior De Educação De Santa Catarina,ISESC,Privada,Não,Não,Não,Instituto Superior ou Escola Superior,4209102.0,Joinville,SC,Extinta
13811,Trevisan Escola Superior De Negócios,Não informado,Privada,Não,Não,Não,Faculdade,3304557.0,Rio De Janeiro,RJ,Extinta
25474,Faculdade Microlins,FAMIC,Privada,Não,Não,Não,Faculdade,3511102.0,Catanduva,SP,Em Atividade
19739,Faculdade De Tecnologia De Campinas,FATEC CAMPINAS,Pública,Não,Não,Não,Faculdade,3509502.0,Campinas,SP,Em Atividade
19312,Faculdade Maranatha,FAMAH,Privada,Não,Não,Não,Faculdade,2211001.0,Teresina,PI,Em Atividade
364,Faculdade De Ciências Contábeis De Ponte Nova,FACE,Privada,Não,Não,Não,Faculdade,3152105.0,Ponte Nova,MG,Extinta
2896,Centro Universitário Satc,UniSATC,Privada,Sim,Não,Não,Centro Universitário,4204608.0,Criciúma,SC,Em Atividade
3397,"Faculdade Boas Novas De Ciências Teológicas, Sociais E Biotecnológicas",FBNCTSB,Privada,Não,Não,Não,Faculdade,1302603.0,Manaus,AM,Em Atividade
21654,Faculdade De Engenharia E Agrimensura De São Paulo,FEASP,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
21693,Faculdade Anhanguera Franca,FAF,Privada,Não,Não,Não,Faculdade,3516200.0,Franca,SP,Em Atividade
17875,Faculdade Católica De Belém,FACBEL,Privada,Não,Não,Não,Faculdade,1500800.0,Ananindeua,PA,Em Atividade
374,Centro Universitário Das Faculdades Metropolitanas Unidas,FMU,Privada,Não,Não,Não,Centro Universitário,3550308.0,São Paulo,SP,Em Atividade
17288,Faculdade Teológica Betânia,FATEBE,Privada,Não,Sim,Não,Faculdade,4106902.0,Curitiba,PR,Em Atividade
78,Faculdade De Filosofia Ciências E Letras De Alegre,FAFIA,Pública,Não,Não,Não,Faculdade,3200201.0,Alegre,ES,Em Atividade
20321,Faculdade Impacto,Não informado,Privada,Não,Não,Não,Faculdade,2704302.0,Maceió,AL,Em Atividade
339,Faculdade Unineves,Não informado,Privada,Não,Não,Não,Faculdade,2507507.0,João Pessoa,PB,Em Atividade
14429,Faculdade Anhanguera De Maceió,Não informado,Privada,Não,Não,Não,Faculdade,2704302.0,Maceió,AL,Em Atividade
4010,Centro Universitário Metodista,IPA,Privada,Sim,Sim,Não,Centro Universitário,4314902.0,Porto Alegre,RS,Em Atividade
26377,Faculdade Favenorte De Espinosa,FAFE,Privada,Não,Não,Não,Faculdade,3124302.0,Espinosa,MG,Em Atividade
4899,Faculdade De Ciências Médicas Da Bahia,CIENCIAS MEDICAS,Privada,Não,Não,Não,Faculdade,2927705.0,Santa Cruz Cabrália,BA,Extinta
14785,Faculdade De Tecnologia Senai Maringá,Não informado,Privada,Não,Não,Não,Faculdade,4115200.0,Maringá,PR,Extinta
19913,Faculdade Estácio De Jataí Estácio Jataí,Estácio Jataí,Privada,Não,Não,Não,Faculdade,5211909.0,Jataí,GO,Extinta
2113,Faculdade Dom Bosco De Porto Alegre,FDB,Privada,Sim,Não,Não,Faculdade,4314902.0,Porto Alegre,RS,Em Atividade
13,Universidade De Caxias Do Sul,UCS,Privada,Sim,Não,Não,Universidade,4305108.0,Caxias Do Sul,RS,Em Atividade
789,Universidade Federal De Roraima,UFRR,Pública,Não,Não,Não,Universidade,1400100.0,Boa Vista,RR,Em Atividade
11752,Faculdade Sudoeste Paulista - Tatuí - Fsp,TATUÍ - FSP,Privada,Não,Não,Não,Faculdade,3554003.0,Tatuí,SP,Extinta
15468,Faculdade Presidente Antônio Carlos De Leopoldina,Não informado,Privada,Não,Não,Não,Faculdade,3138401.0,Leopoldina,MG,Em Atividade
1995,Faculdade De Medicina Nova Esperança,FAMENE,Privada,Não,Não,Não,Faculdade,2507507.0,João Pessoa,PB,Em Atividade
5315,Faculdades Unificadas De Iúna,FUI,Privada,Não,Não,Não,Faculdade,3203007.0,Iúna,ES,Em Atividade
609,Universidade Estadual Do Oeste Do Paraná,UNIOESTE,Pública,Não,Não,Não,Universidade,4104808.0,Cascavel,PR,Em Atividade
15504,Faculdade Irecê,FAI,Privada,Não,Não,Não,Faculdade,2914604.0,Irecê,BA,Em Atividade
22975,Unicorp Faculdades,UNICORP,Privada,Não,Não,Não,Faculdade,2507507.0,João Pessoa,PB,Em Atividade
4815,Faculdade De Tecnologia Senai Nadir Dias De Figueiredo,Não informado,Privada,Não,Não,Não,Faculdade,3534401.0,Osasco,SP,Em Atividade
3295,Faculdade Senac Florianópolis,SENAC FLORIANÓPOLIS,Privada,Não,Não,Não,Faculdade,4205407.0,Florianópolis,SC,Em Atividade
1524,Faculdade Olga Mettig,FAMETTIG,Privada,Não,Não,Não,Faculdade,2927408.0,Salvador,BA,Em Atividade
13630,Escola Superior Do Ministério Público Da União,ESMPU,Pública,Não,Não,Não,Escola de Governo,5300108.0,Brasília,DF,Em Atividade
2200,Faculdade Vale Do Gorutuba,FAVAG,Privada,Não,Não,Não,Faculdade,3145059.0,Nova Porteirinha,MG,Em Atividade
25466,Faculdade De Ensino Jurídico De Vitória,FEJ,Privada,Não,Não,Não,Faculdade,3205309.0,Vitória,ES,Em Atividade
482,Universidade Do Extremo Sul Catarinense,UNESC,Privada,Sim,Não,Não,Universidade,4204608.0,Criciúma,SC,Em Atividade
25425,Faculdade Unifatelos,Não informado,Privada,Não,Não,Não,Faculdade,3509502.0,Campinas,SP,Em Atividade
1198,Faculdade De Ciências Sociais E Aplicadas Do Paraná,FACET,Privada,Não,Não,Não,Faculdade,4106902.0,Curitiba,PR,Extinta
1918,Centro Universitário Univinte,Não informado,Privada,Não,Não,Não,Centro Universitário,4203956.0,Capivari De Baixo,SC,Em Atividade
1601,Faculdade Cidade De Coromandel,FCC,Privada,Não,Não,Não,Faculdade,3119302.0,Coromandel,MG,Em Atividade
24056,Faculdade De Saúde Do Sertão De Pernambuco,FASPE,Privada,Não,Não,Não,Faculdade,2605707.0,Floresta,PE,Em Atividade
281,Conservatório Dramático Musical São Paulo,CDMSP,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Extinta
2334,Faculdade Cnec Rio Das Ostras,Não informado,Privada,Sim,Não,Não,Faculdade,3304524.0,Rio Das Ostras,RJ,Em Atividade
14892,Faculdade De Ciências Da Saúde De Barretos Dr. Paulo Prata,FACISB,Privada,Não,Não,Não,Faculdade,3505500.0,Barretos,SP,Em Atividade
3456,Faculdade Politécnica De Campinas,POLICAMP,Privada,Não,Não,Não,Faculdade,3509502.0,Campinas,SP,Em Atividade
20700,Faculdade De Desenvolvimento Do Norte,FADENORTE,Privada,Não,Não,Não,Faculdade,3161106.0,São Francisco,MG,Em Atividade
1231,Faculdade Cnec Santo Ângelo,Não informado,Privada,Sim,Não,Não,Faculdade,4317509.0,Santo Ângelo,RS,Em Atividade
1828,Escola Da Cidade - Faculdade De Arquitetura E Urbanismo,ESCOLA DA CIDADE,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
2576,Faculdade Anhanguera Unidade Guarapari,Não informado,Privada,Não,Não,Não,Faculdade,3202405.0,Guarapari,ES,Em Atividade
1119,"Faculdade Planalto De Filosofia, Ciências E Letras",FACPLAN,Privada,Não,Não,Não,Faculdade,5300108.0,Brasília,DF,Extinta
21896,Faculdade Maurício De Nassau De Divinópolis,FMN DIVINÓPOLIS,Privada,Não,Não,Não,Faculdade,3122306.0,Divinópolis,MG,Extinta
10020,Instituto Logos De Educação Superior,ILES,Privada,Não,Não,Não,Faculdade,2708402.0,São José Da Tapera,AL,Extinta
2366,Faculdade De Sistemas De Informação De Paraíso Do Tocantins,FSIP,Privada,Não,Não,Não,Faculdade,1716109.0,Paraíso Do Tocantins,TO,Extinta
16918,Faculdade Católica De Feira De Santana,Não informado,Privada,Não,Não,Não,Faculdade,2910800.0,Feira De Santana,BA,Em Atividade
475,Faculdade De Medicina De Petrópolis,FMP,Privada,Não,Não,Não,Faculdade,3303906.0,Petrópolis,RJ,Em Atividade
5503,Faculdades Coc De Brasília,FACOCBR,Privada,Não,Não,Não,Faculdade,5300108.0,Brasília,DF,Extinta
2854,Faculdade Conhecer,FC,Privada,Não,Não,Não,Faculdade,3204906.0,São Mateus,ES,Extinta
26294,Faculdade Livre Do Brasil,FLB,Privada,Não,Não,Não,Faculdade,5107875.0,Sapezal,MT,Em Atividade
22775,Faculdade Garça Branca Pantanal,FGB,Privada,Não,Não,Não,Faculdade,5103403.0,Cuiabá,MT,Em Atividade
4748,Faculdade De Brusque,Não informado,Privada,Não,Não,Não,Faculdade,4202909.0,Brusque,SC,Extinta
15833,Faculdade 2001,Não informado,Privada,Não,Não,Não,Faculdade,2611606.0,Recife,PE,Extinta
17400,Faculdade Menino Deus,FAMED,Privada,Não,Não,Não,Faculdade,4314902.0,Porto Alegre,RS,Em Atividade
15428,Faculdade Unirb - Natal,F. UNIRB,Privada,Não,Não,Não,Faculdade,2408102.0,Natal,RN,Em Atividade
1958,Centro Universitário Senai Santa Catarina,UNISENAI,Privada,Não,Não,Não,Centro Universitário,4202404.0,Blumenau,SC,Em Atividade
26118,Faculdade Aprendiz,FAP,Privada,Não,Não,Não,Faculdade,3105608.0,Barbacena,MG,Em Atividade
17587,Faculdade Humboldt,FH,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Extinta
432,Faculdade Paranaense,FACCAR,Privada,Não,Não,Não,Faculdade,4122404.0,Rolândia,PR,Em Atividade
17854,Centro Universitário Unifecaf,Não informado,Privada,Não,Não,Não,Centro Universitário,3552809.0,Taboão Da Serra,SP,Em Atividade
25148,Escola Superior De Educação E Negócios,ESN,Privada,Não,Não,Não,Faculdade,3529005.0,Marília,SP,Em Atividade
21636,Faculdade Terra Brasilis,Não informado,Privada,Não,Não,Não,Faculdade,5100359.0,Alto Boa Vista,MT,Em Atividade
3979,Faculdade De Bauru,-,Privada,Não,Não,Não,Faculdade,3506003.0,Bauru,SP,Extinta
11807,Istituto Europeo Di Design,IED SP,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
26248,Ufape Intercursos,UFAPE,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
21444,Faculdade Ágape De São Félix,Não informado,Privada,Não,Não,Não,Faculdade,1507300.0,São Félix Do Xingu,PA,Em Atividade
3187,Instituto Superior De Educação Coração De Jesus,ISECJ,Privada,Não,Não,Não,Faculdade,3169406.0,Três Pontas,MG,Extinta
4983,Faculdade Ibra De Tecnologia,FACULDADE FITEC,Privada,Não,Não,Não,Faculdade,3549904.0,São José Dos Campos,SP,Em Atividade
18072,Faculdade De Direito Tech De São Paulo,FADITECH,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
26085,Faculdade Apm,FAPM,Privada,Não,Não,Não,Faculdade,5208707.0,Goiânia,GO,Em Atividade
848,Faculdade Paraibana De Processamento De Dados,FPPD,Privada,Não,Não,Não,Faculdade,2507507.0,João Pessoa,PB,Extinta
19780,Faculdade Anhanguera Unopar De Guanambi,Não informado,Privada,Não,Não,Não,Faculdade,2911709.0,Guanambi,BA,Em Atividade
23908,Faculdade São Francisco Do Ceará - Crato,FASC,Privada,Não,Não,Não,Faculdade,2304202.0,Crato,CE,Em Atividade
24055,Faculdade Fasipe De Primavera,FFP,Privada,Não,Não,Não,Faculdade,5107040.0,Primavera Do Leste,MT,Em Atividade
17224,Faculdade Cesmac Do Sertão,CESMAC Sertão,Privada,Não,Não,Não,Faculdade,2706307.0,Palmeira Dos Índios,AL,Em Atividade
4396,Centro Universitário De Mineiros,UNIFIMES,Pública,Não,Não,Não,Centro Universitário,5213103.0,Mineiros,GO,Em Atividade
18062,Faculdade Marechal Rondon,Não informado,Privada,Não,Não,Não,Faculdade,1100304.0,Vilhena,RO,Em Atividade
26170,"Faculdade De Admin, Tecnol., Eduç E Desenv. Humano",FATEDH,Privada,Não,Não,Não,Faculdade,5006606.0,Ponta Porã,MS,Em Atividade
4998,Faculdade De Tecnologia Inesul Do Paraná,FIPAR,Privada,Não,Não,Não,Faculdade,4106902.0,Curitiba,PR,Extinta
22578,Faculdade Censupeg,Não informado,Privada,Não,Não,Não,Faculdade,4209102.0,Joinville,SC,Em Atividade
74,Faculdade De Filosofia Ciências E Letras De São José Do Rio Pardo,FFCL,Pública,Não,Não,Não,Faculdade,3549706.0,São José Do Rio Pardo,SP,Em Atividade
308,Centro Universitário Presidente Antônio Carlos,UNIPAC,Privada,Não,Não,Não,Centro Universitário,3105608.0,Barbacena,MG,Em Atividade
25657,Faculdade Ith,ITH,Privada,Não,Não,Não,Faculdade,5208707.0,Goiânia,GO,Em Atividade
21631,Faculdade Supremo Redentor,FACSUR,Privada,Não,Não,Não,Faculdade,2108603.0,Pinheiro,MA,Em Atividade
5442,Faculdade Presidente Antônio Carlos De Nova Lima,Não informado,Privada,Não,Não,Não,Faculdade,3100104.0,Abadia Dos Dourados,MG,Extinta
939,Faculdade Católica De Anápolis,CATÓLICA DE ANÁPOLIS,Privada,Não,Não,Não,Faculdade,5201108.0,Anápolis,GO,Em Atividade
21556,Faculdade De Goiana,FAG,Privada,Não,Não,Não,Faculdade,2606200.0,Goiana,PE,Em Atividade
11951,Faculdade Do Sertão Baiano,FASBE,Privada,Não,Não,Não,Faculdade,2921500.0,Monte Santo,BA,Em Atividade
14218,Faculdade Presidente Antônio Carlos De Luminárias,FUNEES,Privada,Não,Não,Não,Faculdade,3138708.0,Luminárias,MG,Extinta
14172,Faculdade Presidente Antônio Carlos De Poté,FUNEES Poté,Privada,Não,Não,Não,Faculdade,3152402.0,Poté,MG,Extinta
1107,Centro Universitário Estácio Do Ceará,Estácio Ceará,Privada,Não,Não,Não,Centro Universitário,2304400.0,Fortaleza,CE,Em Atividade
1014,Instituto Superior E Centro Educacional Luterano - Bom Jesus - Ielusc,BOM JESUS/IELUSC,Privada,Sim,Não,Não,Faculdade,4209102.0,Joinville,SC,Em Atividade
25880,Instituto De Ensino De Segurança Do Pará,IESP,Pública,Não,Não,Não,Faculdade,1504422.0,Marituba,PA,Em Atividade
1402,Instituto De Ciências Sociais E Humanas,ICSH,Privada,Não,Não,Não,Faculdade,5221858.0,Valparaíso De Goiás,GO,Em Atividade
26341,Faculdade Da Fronteira Oeste,UNIFRON,Privada,Não,Não,Não,Faculdade,5003702.0,Dourados,MS,Em Atividade
15507,"Instituto Federal De Educação, Ciência E Tecnologia Do Acre",IFAC,Pública,Não,Não,Não,"Instituto Federal de Educação, Ciência e Tecnologia",1200401.0,Rio Branco,AC,Em Atividade
18631,Faculdade Do Vale Do Rio Arinos,AJES,Privada,Não,Não,Não,Faculdade,5105101.0,Juara,MT,Em Atividade
15873,Faculdade Itaquá,UNEITAQUÁ,Privada,Não,Não,Não,Faculdade,3523107.0,Itaquaquecetuba,SP,Em Atividade
3007,Faculdade Do Instituto Nacional De Pós-Graduação De Campinas,FAC. INPG - CAMPINAS,Privada,Não,Não,Não,Faculdade,3509502.0,Campinas,SP,Extinta
2351,Faculdade Espírito Santense De Ciências Jurídicas,PIO XII - DIR,Privada,Não,Não,Não,Faculdade,3201308.0,Cariacica,ES,Em Atividade
24847,Faculdade De Tecnologia E Ciências De Teresina,FTC TERESINA,Privada,Não,Não,Não,Faculdade,2211001.0,Teresina,PI,Extinta
1674,Instituto Salesiano De Filosofia,INSAF,Privada,Não,Não,Não,Faculdade,2611606.0,Recife,PE,Extinta
423,Universidade Regional Integrada Do Alto Uruguai E Das Missões,URI,Privada,Sim,Não,Sim,Universidade,4307005.0,Erechim,RS,Em Atividade
2755,Centro Universitário Uniasselvi De Brusque,Não informado,Privada,Não,Não,Não,Centro Universitário,4202909.0,Brusque,SC,Em Atividade
910,Faculdade Santa Lúcia,FCACSL,Privada,Não,Não,Não,Faculdade,3530805.0,Moji Mirim,SP,Em Atividade
1058,Centro Universitário Estácio Da Bahia,Estácio Bahia,Privada,Não,Não,Não,Centro Universitário,2927408.0,Salvador,BA,Em Atividade
990,Faculdade De Filosofia Ciências E Letras De Congonhas,FAFIC,Privada,Não,Não,Não,Faculdade,3118007.0,Congonhas,MG,Extinta
450,Centro Universitário São Lucas Ji-Paraná,São Lucas JPR,Privada,Não,Sim,Não,Centro Universitário,1100122.0,Ji-Paraná,RO,Em Atividade
23798,Faculdade De Ciências E Educação Em Saúde,FACCESA,Privada,Não,Não,Não,Faculdade,2611606.0,Recife,PE,Em Atividade
3332,Faculdade De Tecnologia Senac Rio,FATEC,Privada,Não,Não,Não,Faculdade,3304557.0,Rio De Janeiro,RJ,Em Atividade
5550,Faculdade Anhanguera De Anápolis,Não informado,Privada,Não,Não,Não,Faculdade,5201108.0,Anápolis,GO,Em Atividade
22184,Faculdade De Ciências Jurídicas De Rio Verde,Não informado,Privada,Não,Não,Não,Faculdade,5218805.0,Rio Verde,GO,Extinta
18979,Faculdade Multivix Vila Velha,MULTIVIX VILA V,Privada,Não,Não,Não,Faculdade,3205200.0,Vila Velha,ES,Em Atividade
14261,Faculdade Presidente Antônio Carlos De Conselheiro Pena,Não informado,Privada,Não,Não,Não,Faculdade,3118403.0,Conselheiro Pena,MG,Extinta
17674,Faculdade De Educação De São Mateus,Não informado,Privada,Não,Não,Não,Faculdade,2111508.0,São Mateus Do Maranhão,MA,Em Atividade
3682,Instituto Superior De Educação Do Município De Itaperuna,ISEMI,Pública,Não,Não,Não,Faculdade,3302205.0,Itaperuna,RJ,Em Atividade
24160,Instituto De Ensino Superior Agostiniano Casa Gaia,Não informado,Privada,Não,Não,Não,Faculdade,3118601.0,Contagem,MG,Em Atividade
4766,Centro Universitário Una De Contagem,Não informado,Privada,Não,Não,Não,Centro Universitário,3118601.0,Contagem,MG,Em Atividade
29059,Faculdade Metropolitana De Brasília,FAMETRO BSB,Privada,Não,Não,Não,Faculdade,5300108.0,Brasília,DF,Em Atividade
24455,Escola De Saúde Pública Cândido Santiago,ESAP,Pública,Não,Não,Não,Escola de Governo,5208707.0,Goiânia,GO,Em Atividade
11,Universidade Católica De Pernambuco,UNICAP,Privada,Sim,Sim,Não,Universidade,2611606.0,Recife,PE,Em Atividade
4007,"Fatece - Faculdade De Tecnologia, Ciências E Educação",FATECE,Privada,Não,Não,Não,Faculdade,3539301.0,Pirassununga,SP,Em Atividade
1928,Faculdade Cnec Capitão Lemos Cunha,Não informado,Privada,Sim,Não,Não,Faculdade,3304557.0,Rio De Janeiro,RJ,Em Atividade
4023,Faculdade De Tecnologia De Mauá,FATEC MAUÁ,Pública,Não,Não,Não,Faculdade,3529401.0,Mauá,SP,Em Atividade
4814,Faculdade De Tecnologia Senai Felix Guisard,Não informado,Privada,Não,Não,Não,Faculdade,3554102.0,Taubaté,SP,Em Atividade
22606,Faculdade Damásio,Damasio,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
1917,Centro Universitário Maurício De Nassau De Cacoal,UNINASSAU,Privada,Não,Não,Não,Centro Universitário,1100049.0,Cacoal,RO,Em Atividade
572,Universidade Federal Fluminense,UFF,Pública,Não,Não,Não,Universidade,3303302.0,Niterói,RJ,Em Atividade
1930,Instituto Superior De Educação De São Paulo,SINGULARIDADES/ISESP,Privada,Não,Não,Não,Faculdade,3550308.0,São Paulo,SP,Em Atividade
